,0,1,document,model,brand,DougScore
10,-0.32164857,-0.40120888,"Page: Mercedes-AMG
Summary: Mercedes-AMG GmbH, commonly known as AMG (Aufrecht, Melcher, Großaspach), is the high-performance subsidiary of Mercedes-Benz AG. AMG independently hires engineers and contracts with manufacturers to customize Mercedes-Benz AMG vehicles. The company has its headquarters in Affalterbach, Baden-Württemberg, Germany.
AMG was originally an independent engineering firm specializing in performance improvements for Mercedes-Benz vehicles. DaimlerChrysler AG took a controlling interest in 1999, then became the sole owner of AMG in 2005. Mercedes-AMG GmbH is now a wholly owned subsidiary of Mercedes-Benz AG, which is in turn owned by the Mercedes-Benz Group.AMG models typically have more aggressive looks, higher performance, better handling, better stability and more carbon fibre than their regular Mercedes-Benz counterparts. AMG models are typically the most expensive and highest-performing variant of each Mercedes-Benz class. AMG has also made special variants of some Mitsubishi and Honda models.
AMG variants are usually badged with two numerals, as opposed to regular Mercedes-Benz vehicles, which have three (e.g. ""E 63"" as opposed to ""E 350""). The numerals do not always indicate engine size, but are rather a tribute to earlier heritage cars, such as the 300 SEL 6.3 litre. For example, newer-model AMG V8s such as the E 63 actually have 4.0L V8s.
The world's first stand-alone Mercedes-AMG dealership, AMG Sydney, was opened in Sydney, Australia in 2018.",Mercedes AMG E63 Wagon,Mercedes,72.0
11,0.070676826,0.16172066,"Page: Rimac Nevera
Summary: The Rimac Nevera (pronounced: [rǐːmat͡s něʋeːra]) is an all-electric sports car designed and manufactured by the Croatian automotive manufacturer Rimac Automobili. The first production prototype car was released in August 2021.  Nevera production has been limited to 150 vehicles. Having completed crash testing for homologation, Rimac planned to deliver the Nevera to customers in mid-2022. The first production spec Nevera was delivered in August 2022. Deliveries to the United States started in June 2023. The Nevera is manufactured in the same factory and at the same rate (of roughly 1 per week) as the Pininfarina Battista, which is based on the same platform.",Rimac Nevera,Rimac,72.0
12,-0.011136663,-0.07132136,"Page: Koenigsegg Regera
Summary: The Koenigsegg Regera is a limited production, plug-in hybrid grand touring sports car manufactured by Swedish automotive manufacturer Koenigsegg. It was unveiled at the March 2015 Geneva Motor Show. The name Regera is a Swedish verb, meaning ""to reign"" or ""to rule"". Koenigsegg produced 85 units of the car, most of which were sold upon unveiling.The Regera was developed and designed to be a more practical, luxurious, grand touring alternative to the rest of Koenigsegg's lightweight sports car lineup; initially the Agera and currently the Jesko. As a result, it is less focused on-track performance and spartan weight reduction and more focused on the smooth and instant delivery of power provided by its overhauled powertrain. Koenigsegg states that the Regera will be one of the most powerful and fastest-accelerating hybrid production cars produced.
The introduction of the Regera alongside the Agera RS in 2015 resulted in Koenigsegg, for the first time ever, simultaneously having two models in production. This role was passed from the Agera to the Jesko in 2019, which briefly shared the production line with the Regera when Jesko production began in late 2021.",Koenigsegg Regera,Koenigsegg,72.0
13,-0.03407116,0.37024358,"Page: McLaren Senna
Summary: The McLaren Senna is a limited-production mid-engined sports car manufactured by McLaren Automotive. The car is the third addition in the McLaren Ultimate Series, joining the F1 and the P1; however, it is not a direct successor to either of the cars. The Senna was unveiled online by the company on 10 December 2017, with the official unveiling taking place at the 2018 Geneva Motor Show.",McLaren Sabre,McLaren,72.0
14,-0.2206034,0.32215005,"Page: Ferrari SF90 Stradale
Summary: The Ferrari SF90 Stradale (Type F173) is a mid-engine PHEV (plug-in hybrid electric vehicle) sports car produced by the Italian automobile manufacturer Ferrari. The car shares its name with the SF90 Formula One car with SF90 standing for the 90th anniversary of the Scuderia Ferrari racing team and ""Stradale"" meaning ""made for the road"".",Ferrari SF90 Stradale,Ferrari,72.0
15,-0.07901525,-0.10317531,"Page: Audi RS 6
Summary: The Audi RS 6 is a high-performance variant of the Audi A6 range, produced by the high-performance subsidiary company Audi Sport GmbH, for its parent company Audi AG, a subsidiary of the Volkswagen Group, from 2002 onwards.
The first and second versions of the RS 6 were offered in both Avant and saloon forms. The third and fourth generations are only offered as an Avant.",Audi RS6 Avant,Audi,72.0
16,0.11772486,-0.02023207,"Page: Porsche Taycan
Summary: The Porsche Taycan is a battery electric saloon and shooting brake produced by German automobile manufacturer Porsche. The concept version of the Taycan, named the Porsche Mission E, debuted at the 2015 Frankfurt Motor Show. The Taycan was revealed fully production-ready at the 2019 Frankfurt Motor Show. As Porsche's first series production electric car, it is sold in several variants at different performance levels, and may spawn further derivatives in future models. More than 20,000 Taycans were delivered in 2020, its debut sale year, representing 7.4% of the total Porsche volume. A modified Taycan Turbo S is the current Formula E Safety car.",Porsche Taycan Turbo S,Porsche,72.0
17,-0.031218423,0.5087598,"Page: LaFerrari
Summary: LaFerrari, project name F150, is a limited production mid-engine, mild hybrid sports car built by Italian automotive manufacturer Ferrari. LaFerrari means ""The Ferrari"" in Italian, meaning this is supposed to be the definitive Ferrari.",Ferrari LaFerrari,Ferrari,72.0
18,-0.23591095,0.34549534,"Page: Ferrari 488
Summary: The Ferrari 488 (Type F142M) is a mid-engine sports car produced by the Italian automobile manufacturer Ferrari. The car replaced the 458, being the first mid-engine Ferrari to use a turbocharged V8 since the F40. It was succeeded by the Ferrari F8.
The car is powered by a 3.9-litre twin-turbocharged V8 engine, smaller in displacement but generating a higher power output than the 458's naturally aspirated engine. The 488 GTB was named ""The Supercar of the Year 2015"" by car magazine Top Gear, as well as becoming Motor Trend's 2017 ""Best Driver's Car"". Jeremy Clarkson announced the 488 Pista as his 2019 Supercar of the Year.",Ferrari 488 Pista,Ferrari,72.0
19,0.0119375205,0.08617464,"Page: Koenigsegg Agera
Summary: The Koenigsegg Agera is a mid-engine sports car produced by Swedish car manufacturer Koenigsegg. It is a successor to the CCX/CCXR. The name comes from the Swedish verb 'agera' which means ""to act"" or in imperative form ""(You) act!"".
It was named Hypercar of the Year in 2010 by Top Gear magazine. The Agera RS variant became the world's fastest production car in 2017, setting a record with a GPS-verified two-way average top speed of 447 km/h (278 mph) and a fastest straight-line speed of 458 km/h (285 mph).The Agera ceased production in July 2018 with the unveiling of the two final edition cars at the 2018 Goodwood Festival of Speed. It was succeeded by the Jesko in 2019.",Koenigsegg Agera RS1,Koenigsegg,72.0
20,-0.22261554,-0.22594306,"Page: Mercedes-AMG GT 4-Door Coupé
Summary: The Mercedes-AMG GT 4-Door Coupé is an executive car (E-segment) introduced in 2018 by Mercedes-AMG. It is marketed as a five-door variant of the AMG GT two-door sports car. Despite the name and style, the GT 4-Door Coupé is heavily based on the CLS-Class C257. Its performance chassis is closely related to E63 wagon, and is featured by the AMG-specific rear frame and a different front axle for better kinematics.",Mercedes-Benz GT63S 4-Door,Mercedes-Benz,72.0
21,-0.2903057,-0.33076128,"Page: Mercedes-Benz E-Class
Summary: The Mercedes-Benz E-Class is a range of executive cars manufactured by German automaker Mercedes-Benz in various engine and body configurations. Produced since 1953, the E-Class falls midrange in the Mercedes line-up, and has been marketed worldwide across five generations.
Before 1993, the E in Mercedes-Benz nomenclature was a suffix following a vehicle's model number which stood for Einspritzmotor (German for fuel injection engine). It began to appear in the early 1960s, when that feature began to be utilized broadly in the maker's product line, and not just in its upper-tier luxury and sporting models.  By the launch of the facelifted W124 in 1993 fuel injection was ubiquitous in Mercedes engines, and the E was adopted as a prefix (i.e., E 220). The model line is referred to officially as the E-Class (or E-Klasse). All generations of the E-Class have offered either rear-wheel drive or Mercedes' 4Matic four-wheel drive system.
The E-Class is Mercedes-Benz' best-selling model, with more than 13 million sold by 2015. The first E-Class series was originally available as four-door sedan, five-door station wagon, two-door coupe and two-door convertible. From 1997 to 2009, the equivalent coupe and convertible were sold under the Mercedes-Benz CLK-Class nameplate; which was based on the mechanical underpinnings of the smaller C-Class while borrowing the styling and some powertrains from the E-Class, a trend continued with the C207 E-Class coupe/convertible which was sold parallel to the W212 E-Class sedan/wagon. With the latest incarnation of the E-Class released for the 2017 model year, all body styles share the same W213 platform.Due to the E-Class's size and durability, it has filled many market segments, from personal cars to frequently serving as taxis in European countries, as well special-purpose vehicles (e.g., police or ambulance modifications) from the factory. In November 2020, the W213 E-Class was awarded the 2021 Motor Trend Car of the Year award, a first for Mercedes-Benz.",Mercedes-Benz E63S AMG Wagon,Mercedes-Benz,72.0
22,-0.04665141,-0.06710228,"Page: Porsche 918 Spyder
Summary: The Porsche 918 Spyder is a sports car manufactured by German marque Porsche. The 918 Spyder is a plug-in hybrid powered by a mid-mounted naturally aspirated 4.6 L (4,593 cc) V8 engine, developing 447 kW (608 PS; 599 hp) at 8,700 RPM, with two electric motors delivering an additional 210 kW (286 PS; 282 hp) for a combined output of 652 kW (875 hp) and 1,280 N⋅m (944 lbf⋅ft) of torque. The 918 Spyder's 6.8 kWh lithium-ion battery pack delivers an all-electric range of 19 km (12 mi) under the US Environmental Protection Agency's five-cycle tests.Production began on 18 September 2013, with deliveries initially scheduled to begin in December 2013, and a starting price of ≈€781,000 (US$845,000 or £711,000). The 918 Spyder was sold out in December 2014 and production ended in June 2015.The 918 Spyder was first shown as a concept at the 80th Geneva Motor Show in March 2010. On 28 July 2010, after 2,000 declarations of interest, the supervisory board of Porsche AG approved series development of the 918 Spyder. The production version was unveiled at the September 2013 Frankfurt Motor Show. Porsche also unveiled the RSR racing variant of the 918 at the 2011 North American International Auto Show, which combines hybrid technology first used in the 997 GT3 R Hybrid, with styling from the 918 Spyder. However, the 918 RSR did not make it to production. The 918 Spyder was the second plug-in hybrid car manufactured by Porsche, after the 2014 Panamera S E-Hybrid.",Porsche 918 Spyder,Porsche,72.0
23,0.07949551,0.0396856,"Page: Tesla Model X
Summary: The Tesla Model X is a battery electric mid-size luxury crossover SUV built by Tesla, Inc. since 2015. Developed from the full-sized sedan platform of the Tesla Model S, the vehicle notably uses falcon wing doors for passenger access.
The Model X has an EPA size class as an SUV, and shares around 30 percent of its content with the Model S, half of the originally planned 60 percent, and weighs about 10 percent more. Both the Model X and Model S are produced at the Tesla Factory in Fremont, California. The prototype was unveiled at Tesla's design studios in Hawthorne, California on February 9, 2012. First deliveries of the Model X began in September 2015. After one full year on the market, in 2016, the Model X ranked seventh among the world's best-selling plug-in cars. A refresh of the Tesla Model X was introduced in 2021, offering a new ""Plaid"" performance model, along with a revised interior, powertrain, and suspension.As of September 2023, the Model X is available as a Long-Range version with an estimated EPA range of 348 miles (560 km) and a high performance ""Plaid"" version with an estimated EPA range of 333 miles (536 km).",Tesla Model X Plaid,Tesla,71.0
24,0.11772486,-0.02023207,"Page: Porsche Taycan
Summary: The Porsche Taycan is a battery electric saloon and shooting brake produced by German automobile manufacturer Porsche. The concept version of the Taycan, named the Porsche Mission E, debuted at the 2015 Frankfurt Motor Show. The Taycan was revealed fully production-ready at the 2019 Frankfurt Motor Show. As Porsche's first series production electric car, it is sold in several variants at different performance levels, and may spawn further derivatives in future models. More than 20,000 Taycans were delivered in 2020, its debut sale year, representing 7.4% of the total Porsche volume. A modified Taycan Turbo S is the current Formula E Safety car.",Porsche Taycan GTS Sport Turismo,Porsche,71.0
25,0.11772486,-0.02023207,"Page: Porsche Taycan
Summary: The Porsche Taycan is a battery electric saloon and shooting brake produced by German automobile manufacturer Porsche. The concept version of the Taycan, named the Porsche Mission E, debuted at the 2015 Frankfurt Motor Show. The Taycan was revealed fully production-ready at the 2019 Frankfurt Motor Show. As Porsche's first series production electric car, it is sold in several variants at different performance levels, and may spawn further derivatives in future models. More than 20,000 Taycans were delivered in 2020, its debut sale year, representing 7.4% of the total Porsche volume. A modified Taycan Turbo S is the current Formula E Safety car.",Porsche Taycan Turbo CrossTurismo,Porsche,71.0
26,0.019665802,-0.15964712,"Page: Audi e-tron GT
Summary: The Audi e-tron GT is a battery electric executive car produced by Audi since late 2020 as part of the e-tron battery electric sub-brand, and the third fully electric car model, after Q8 e-tron and Q8 e-tron Sportback SUVs. Based on the J1 platform shared with the Porsche Taycan, the car went on sale in March 2021.",Audi RS E-Tron GT,Audi,71.0
27,-0.26471686,0.43963134,"Page: Ferrari 812 Superfast
Summary: The Ferrari 812 Superfast (Type F152M) is a front mid-engine, rear-wheel-drive grand tourer produced by Italian sports car manufacturer Ferrari that made its debut at the 2017 Geneva Motor Show. The 812 Superfast is the successor to the F12berlinetta.",Ferrari 812 GTS,Ferrari,71.0
28,-0.26471686,0.43963134,"Page: Ferrari 812 Superfast
Summary: The Ferrari 812 Superfast (Type F152M) is a front mid-engine, rear-wheel-drive grand tourer produced by Italian sports car manufacturer Ferrari that made its debut at the 2017 Geneva Motor Show. The 812 Superfast is the successor to the F12berlinetta.",Ferrari 812 Superfast,Ferrari,71.0
29,-0.29562026,0.50579005,"Page: Ferrari F8
Summary: The Ferrari F8 (Type F142MFL) is a mid-engine sports car produced by the Italian automobile manufacturer Ferrari. The car is the successor to the Ferrari 488, with exterior and performance changes. It was unveiled at the 2019 Geneva Motor Show.",Ferrari F8 Tributo,Ferrari,71.0
30,0.06815832,0.3746626,"Page: Lamborghini Huracán
Summary: The Lamborghini Huracán (Spanish for ""hurricane""; [uɾaˈkan]) is a sports car manufactured by Italian automotive manufacturer Lamborghini replacing the previous V10 offering, the Gallardo. The Huracán was revealed online in December 2013, making its worldwide debut at the 2014 Geneva Auto Show, and was released in the market in the second quarter of 2014.",Lamborghini Huracan Evo Spyder,Lamborghini,71.0
31,-0.12701766,0.28324047,"Page: McLaren P1
Summary: The McLaren P1 is a supercar produced by British marque McLaren Automotive. It is a plug-in hybrid with a mid-engine layout. It was first shown at the 2012 Paris Motor Show, with sales of the P1 beginning in the United Kingdom in October 2013 and all of the limited run of 375 units sold by November 2013. Production ended in early December 2015. The United States accounted for 34% of the units and Europe for 26%.It is considered by the automotive press to be the successor to the McLaren F1, utilising hybrid power and Formula One technology, but does not have the same three-seat layout. It was later confirmed that the Speedtail served as the actual successor to the McLaren F1. The P1 has a mid-engine, rear wheel drive design that used a carbon fibre monocoque and roof structure safety cage concept called MonoCage, which is a development of the MonoCell first used in the MP4-12C and then in subsequent models. Its main competitors are the LaFerrari and the 918 Spyder. They are all similar in specifications and performance, and in a race around Silverstone circuit they were all within half a second of each other, the P1 finishing first at 58.24 seconds and the LaFerrari finishing last at 58.58 seconds; the 918 was in-between with 58.46 seconds.Parts of the car were inspired by a sailfish that Frank Stephenson saw when on holiday in Miami.58 units of the track-oriented P1 GTR and 5 units of its road legal counterpart, the P1 LM were produced after the initial run of 375 cars.
13 experimental prototypes 'XP', 5 validation prototypes 'VP', and 3 pre-production 'PP' cars were produced by McLaren before the production of the P1 started. A number of these 21 test cars have been refurbished, modified and sold to customers.",McLaren P1,McLaren,71.0
32,-0.03407116,0.37024358,"Page: McLaren Senna
Summary: The McLaren Senna is a limited-production mid-engined sports car manufactured by McLaren Automotive. The car is the third addition in the McLaren Ultimate Series, joining the F1 and the P1; however, it is not a direct successor to either of the cars. The Senna was unveiled online by the company on 10 December 2017, with the official unveiling taking place at the 2018 Geneva Motor Show.",McLaren Senna,McLaren,71.0
33,0.06612464,0.16518544,"Page: Lamborghini Urus
Summary: The Lamborghini Urus is a luxury SUV manufactured by Italian automobile manufacturer Lamborghini. It was introduced in December 2017 as a 2018 model year production vehicle. The Urus is the first Lamborghini SUV and five-door vehicle in the modern era (under the ownership of Volkswagen Group), and the second SUV in the brand's history after the LM002, which was produced between 1986 and 1993.
Built on the Volkswagen Group MLB Evo platform, the Urus shares many components with other Volkswagen Group luxury SUVs, such as the Audi Q7, Bentley Bentayga, Porsche Cayenne, and Volkswagen Touareg. With a top speed of 305 km/h (190 mph), the Urus is considered as one of the fastest production SUVs in the world.
The name comes from the urus, the ancestor of modern domestic cattle, also known as the aurochs.",Lamborghini Urus,Lamborghini,71.0
34,-0.3177535,0.44291377,"Page: Ferrari 458
Summary: The Ferrari 458 Italia (Type F142) is a mid-engine sports car produced by Ferrari. The 458 is the successor of the F430, and was first officially unveiled at the 2009 Frankfurt Motor Show. It was succeeded by the 488 GTB (Gran Turismo Berlinetta) in 2015.",Ferrari 458 Speciale A,Ferrari,71.0
35,-0.049568694,-0.050714333,"Page: Porsche 997
Summary: The Porsche 997 is the internal designation for the Porsche 911 sports car manufactured and sold by the German automobile manufacturer Porsche between 2004 (as Model Year 2005) and 2013. Production of the Carrera and Carrera S coupés began in early 2004, all-wheel drive Carrera 4 and Carrera 4S began to be delivered to customers in November 2005, the Turbo and GT3 derivatives went on sale in late 2006 and the GT2 in 2007. In addition to the coupé and cabriolet versions, Targa versions of the Carrera 4 and Carrera 4S were also available, which carry on with the ""glass canopy"" roof design used since its first application on the 993 until the 991, which reverted to the classic targa top layout used on the early 911 Targas.
The 997 was an evolution of the preceding 996, with the most significant changes being interior and exterior styling, the most notable being the replacement of the ""fried egg"" headlamps used on the 996 with the classic ""bug eye"" units. Larger 18-inch wheels were fitted as standard, and other engineering changes include slightly increased power; however, the car is technically very similar to its predecessor albeit with many revisions. A new S version was offered, with additional power from a slightly larger engine, sports suspension, and sports exhaust.
During 2009, Porsche updated the 997 line-up including styling changes, a revised engine with direct injection and the introduction of the company's new ""PDK"" dual clutch transmission. As a result, the updated 997 models were faster, lighter and more fuel efficient than the outgoing versions, with improved handling. In the case of the 997 Turbo, a comprehensively re-tuned all wheel drive system with an optional ""torque vectoring"" system was also a part of the upgrades package; in an October 2009 preliminary review, Car and Driver magazine estimated that when equipped with the PDK transmission, the updated Turbo should be capable of accelerating from 0–97 km/h (0–60 mph) in three seconds.
The 997 received mostly positive reviews from the worldwide motoring press; even British motoring journalist Jeremy Clarkson, a known detractor of Porsche cars, noted that the 997 will ""make love to your fingertips and stir your soul.""",Porsche 911 GT2RS,Porsche,71.0
36,0.06815832,0.3746626,"Page: Lamborghini Huracán
Summary: The Lamborghini Huracán (Spanish for ""hurricane""; [uɾaˈkan]) is a sports car manufactured by Italian automotive manufacturer Lamborghini replacing the previous V10 offering, the Gallardo. The Huracán was revealed online in December 2013, making its worldwide debut at the 2014 Geneva Auto Show, and was released in the market in the second quarter of 2014.",Lamborghini Huracan,Lamborghini,71.0
37,-0.043348417,0.052104108,"Page: Porsche Carrera GT
Summary: The Porsche Carrera GT (Project Code 980) is a mid-engine sports car that was manufactured by German automobile manufacturer Porsche from 2004 to 2006. Sports Car International named the Carrera GT number one on its list of Top Sports Cars of the 2000s, and number eight on its Top Sports Cars of All Time list. For its advanced technology and development of its chassis, Popular Science magazine awarded it the ""Best of What's New"" award in 2003.",Porsche Carrera GT,Porsche,71.0
38,-0.077750005,0.25879988,"Page: McLaren Elva
Summary: The McLaren Elva is a limited-production mid-engine sports car manufactured by McLaren Automotive. The car is the fifth addition in the McLaren Ultimate Series, joining the F1, the P1, Senna, and the Speedtail. The open-top sports car is inspired by the open top race cars developed by Bruce McLaren in the 1960s.",McLaren Elva,McLaren,70.0
39,0.01732975,-0.03586798,"Page: Porsche Cayenne
Summary: The Porsche Cayenne is a series of mid-size luxury crossovers manufactured by the German motor company Porsche since 2002. The first generation was known internally within Porsche as the Type 9PA (955/957) or E1. It was the first V8-engined vehicle built by Porsche since 1995, when the Porsche 928 was discontinued. It is also Porsche's first off-road variant vehicle since its Super and Junior tractors of the 1950s, and the first Porsche with four doors. Since 2014, the Cayenne has been sold alongside a smaller Porsche SUV, the Macan. The word Cayenne used by Porsche comes from the cayenne peppers, a moderately hot chili pepper used to flavor dishes.
The second-generation Cayenne (Type 92A or E2) was unveiled at the 2010 Geneva Motor Show in March. The Cayenne shares its platform, body frame, doors and electronics with the similar Volkswagen Touareg and Audi Q7. It received a facelift in 2014 with minor external changes, and introduced a new plug-in E-Hybrid version, with its public launch at the Paris Motor Show. Since 2008, all engines have featured direct injection technology. The third generation (Type PO536) was unveiled in 2017 at Stuttgart.",Porsche Cayenne Turbo GT,Porsche,70.0
40,-0.19509523,0.3952368,"Page: Ferrari F12
Summary: The Ferrari F12berlinetta (Type F152) is a front engine, rear-wheel-drive grand tourer produced by Italian automobile manufacturer Ferrari. The F12berlinetta debuted at the 2012 Geneva Motor Show, and replaced the 599 grand tourer. The naturally aspirated 6.3 litre Ferrari V12 engine used in the F12berlinetta has won the 2013 International Engine of the Year Award in the Best Performance category and Best Engine above 4.0 litres. The F12berlinetta was named ""The Supercar of the Year 2012"" by car magazine Top Gear. The F12berlinetta was replaced by the 812 Superfast in early 2017.
In 2014, the F12berlinetta was awarded the XXIII Premio Compasso d'Oro ADI. Accepting the award was Ferrari's Senior Vice President of Design, Flavio Manzoni.",Ferrari F12 Berlinetta,Ferrari,70.0
